States,Year,CAUSE,Male,Female,Total,Lat,Long
ANDHRA PRADESH,2001,Truck/Lorry (Government),103,26,129,14.7504291,78.57002559
ANDHRA PRADESH,2001,Truck/Lorry (Private),2171,414,2585,14.7504291,78.57002559
ANDHRA PRADESH,2001,Bus (Government),488,119,607,14.7504291,78.57002559
ANDHRA PRADESH,2001,Bus (Private),289,76,365,14.7504291,78.57002559
ANDHRA PRADESH,2001,Tempo/Vans (Government),13,3,16,14.7504291,78.57002559
ANDHRA PRADESH,2001,Tempo/Vans (Private),310,70,380,14.7504291,78.57002559
ANDHRA PRADESH,2001,Jeep (Government),31,9,40,14.7504291,78.57002559
ANDHRA PRADESH,2001,Jeep (Private),473,111,584,14.7504291,78.57002559
ANDHRA PRADESH,2001,Car (Government),18,0,18,14.7504291,78.57002559
ANDHRA PRADESH,2001,Car (Private),426,125,551,14.7504291,78.57002559
ANDHRA PRADESH,2001,Three Wheeler,473,138,611,14.7504291,78.57002559
ANDHRA PRADESH,2001,Two Wheeler,775,94,869,14.7504291,78.57002559
ANDHRA PRADESH,2001,Bicycle,169,12,181,14.7504291,78.57002559
ANDHRA PRADESH,2001,Pedestrian,307,67,374,14.7504291,78.57002559
ANDHRA PRADESH,2001,Others (Please Specify),901,163,1064,14.7504291,78.57002559
ANDHRA PRADESH,2002,Truck/Lorry (Government),42,8,50,14.7504291,78.57002559
ANDHRA PRADESH,2002,Truck/Lorry (Private),2664,425,3089,14.7504291,78.57002559
ANDHRA PRADESH,2002,Bus (Government),595,146,741,14.7504291,78.57002559
ANDHRA PRADESH,2002,Bus (Private),294,67,361,14.7504291,78.57002559
ANDHRA PRADESH,2002,Tempo/Vans (Government),35,11,46,14.7504291,78.57002559
ANDHRA PRADESH,2002,Tempo/Vans (Private),413,58,471,14.7504291,78.57002559
ANDHRA PRADESH,2002,Jeep (Government),34,1,35,14.7504291,78.57002559
ANDHRA PRADESH,2002,Jeep (Private),416,97,513,14.7504291,78.57002559
ANDHRA PRADESH,2002,Car (Government),23,4,27,14.7504291,78.57002559
ANDHRA PRADESH,2002,Car (Private),341,101,442,14.7504291,78.57002559
ANDHRA PRADESH,2002,Three Wheeler,724,188,912,14.7504291,78.57002559
ANDHRA PRADESH,2002,Two Wheeler,871,138,1009,14.7504291,78.57002559
ANDHRA PRADESH,2002,Bicycle,160,15,175,14.7504291,78.57002559
ANDHRA PRADESH,2002,Pedestrian,493,90,583,14.7504291,78.57002559
ANDHRA PRADESH,2002,Others (Please Specify),729,168,897,14.7504291,78.57002559
ANDHRA PRADESH,2003,Truck/Lorry (Government),14,1,15,14.7504291,78.57002559
ANDHRA PRADESH,2003,Truck/Lorry (Private),2542,476,3018,14.7504291,78.57002559
ANDHRA PRADESH,2003,Bus (Government),468,169,637,14.7504291,78.57002559
ANDHRA PRADESH,2003,Bus (Private),376,92,468,14.7504291,78.57002559
ANDHRA PRADESH,2003,Tempo/Vans (Government),6,0,6,14.7504291,78.57002559
ANDHRA PRADESH,2003,Tempo/Vans (Private),334,81,415,14.7504291,78.57002559
ANDHRA PRADESH,2003,Jeep (Government),23,7,30,14.7504291,78.57002559
ANDHRA PRADESH,2003,Jeep (Private),536,165,701,14.7504291,78.57002559
ANDHRA PRADESH,2003,Car (Government),10,1,11,14.7504291,78.57002559
ANDHRA PRADESH,2003,Car (Private),487,147,634,14.7504291,78.57002559
ANDHRA PRADESH,2003,Three Wheeler,727,240,967,14.7504291,78.57002559
ANDHRA PRADESH,2003,Two Wheeler,1139,212,1351,14.7504291,78.57002559
ANDHRA PRADESH,2003,Bicycle,156,12,168,14.7504291,78.57002559
ANDHRA PRADESH,2003,Pedestrian,455,140,595,14.7504291,78.57002559
ANDHRA PRADESH,2003,Others (Please Specify),888,264,1152,14.7504291,78.57002559
ANDHRA PRADESH,2004,Truck/Lorry (Government),15,3,18,14.7504291,78.57002559
ANDHRA PRADESH,2004,Truck/Lorry (Private),2687,448,3135,14.7504291,78.57002559
ANDHRA PRADESH,2004,Bus (Government),597,116,713,14.7504291,78.57002559
ANDHRA PRADESH,2004,Bus (Private),253,52,305,14.7504291,78.57002559
ANDHRA PRADESH,2004,Tempo/Vans (Government),21,4,25,14.7504291,78.57002559
ANDHRA PRADESH,2004,Tempo/Vans (Private),500,100,600,14.7504291,78.57002559
ANDHRA PRADESH,2004,Jeep (Government),31,8,39,14.7504291,78.57002559
ANDHRA PRADESH,2004,Jeep (Private),547,121,668,14.7504291,78.57002559
ANDHRA PRADESH,2004,Car (Government),11,5,16,14.7504291,78.57002559
ANDHRA PRADESH,2004,Car (Private),441,119,560,14.7504291,78.57002559
ANDHRA PRADESH,2004,Three Wheeler,1250,280,1530,14.7504291,78.57002559
ANDHRA PRADESH,2004,Two Wheeler,1370,168,1538,14.7504291,78.57002559
