"","ID","Severity","Start_Time","End_Time","Start_Lat","Start_Lng","End_Lat","End_Lng","Distance(mi)","Description","Number","Street","Side","City","County","State","Zipcode","Country","Timezone","Airport_Code","Weather_Timestamp","Temperature(F)","Wind_Chill(F)","Humidity(%)","Pressure(in)","Visibility(mi)","Wind_Direction","Wind_Speed(mph)","Precipitation(in)","Weather_Condition","Amenity","Bump","Crossing","Give_Way","Junction","No_Exit","Railway","Roundabout","Station","Stop","Traffic_Calming","Traffic_Signal","Turning_Loop","Sunrise_Sunset","Civil_Twilight","Nautical_Twilight","Astronomical_Twilight"
"1","A-4045487",2,2018-05-15 17:51:56,2018-05-15 23:51:56,35.08405,-89.88831,35.08533,-89.87542,0.734,"At TN-385/Nonconnah Pky/Exit 16 - Accident. Center lane blocked.",NA,"I-240 W","R","Memphis","Shelby","TN","38119","US","US/Central","KOLV",2018-05-15 17:50:00,89.6,NA,40,29.85,10,"SSW",9.2,NA,"Scattered Clouds",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"2","A-3668051",3,2020-04-29 20:27:24,2020-04-29 20:42:24,40.31611,-75.58706,40.31611,-75.58706,0,"At Smith Rd - Accident traffic being directed around accident area.",NA,"Short Rd","R","Gilbertsville","Montgomery","PA","19525","US","US/Eastern","KPTW",2020-04-29 20:54:00,53,53,74,29.78,9,"E",10,0,"Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Day","Day"
"3","A-4206118",4,2019-06-28 06:48:56,2019-06-28 07:18:02,40.55897,-111.89842,40.558978,-111.899443,0.054,"Closed at at I-15 - Road closed due to accident.",NA,"I-15 S","R","South Jordan","Salt Lake","UT","84095","US","US/Mountain","KU42",2019-06-28 06:54:00,74,74,26,25.72,10,"SSE",14,0,"Mostly Cloudy",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Day","Day","Day","Day"
"4","A-4126310",3,2017-11-27 06:39:21,2017-11-27 12:39:21,35.699442,-78.594605,35.698697,-78.592591,0.124,"At Management Way - Accident.",436,"US Highway 70 E","L","Garner","Wake","NC","27529-4049","US","US/Eastern","KRDU",2017-11-27 06:51:00,28,NA,92,30.2,10,"Calm",NA,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Day","Day","Day"
"5","A-3917694",3,2019-02-26 19:04:50,2019-02-26 23:04:50,44.426256,-121.877935,44.41962,-121.870511,0.587,"At NF-2076 - Accident. Lane closed.",13004,"Santiam Hwy","R","Blue River","Linn","OR","97413","US","US/Pacific","KEUG",2019-02-26 18:54:00,33.1,23.4,92,29.79,0.5,"North",13.8,0.06,"Snow",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Day"
"6","A-2765335",3,2017-01-22 11:02:21,2017-01-22 17:02:21,25.129476,-80.40912,25.130927,-80.407884,0.127,"At Sound Dr - Accident.",NA,"Shaw Rd","R","Key Largo","Monroe","FL","33037","US","US/Eastern","KHST",2017-01-22 10:58:00,81,NA,78,29.84,10,"South",20.7,NA,"Mostly Cloudy",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"7","A-3414018",2,2020-10-14 21:00:21,2020-10-14 22:15:21,29.937561,-95.468047,29.937821,-95.448507,1.17,"Incident on N SAM HOUSTON TOLLWAY EB near VETERANS MEMORIAL PKY Expect long delays.",NA,"N Sam Houston Tollway E","R","Houston","Harris","TX","77038","US","US/Central","KIAH",2020-10-14 20:53:00,78,78,79,29.76,10,"SSE",10,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"8","A-3468476",1,2020-04-30 14:48:06,2020-04-30 15:53:04,31.79158,-106.32313,31.79158,-106.32313,0,"At US-62/US-180/Montana Ave - Accident.",3304,"N Lee Trevino Dr","R","El Paso","El Paso","TX","79936","US","US/Mountain","KELP",2020-04-30 14:44:00,88,88,17,26.1,10,"CALM",0,NA,"Mostly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Day","Day","Day","Day"
"9","A-3932624",3,2019-01-25 07:37:13,2019-01-25 08:06:55,38.73877,-104.74681,38.751453,-104.759683,1.118,"At CO-83/Academy Blvd/Exit 135 - Accident.",NA,"I-25 N","R","Fountain","El Paso","CO","80817","US","US/Mountain","KFCS",2019-01-25 07:56:00,17.4,NA,67,30.38,10,"Calm",NA,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"10","A-2832524",2,2016-12-29 15:14:49,2016-12-29 21:14:49,38.584247,-121.459539,38.584245,-121.459545,0,"At Exposition Blvd - Accident.",NA,"Capital City Fwy E","R","Sacramento","Sacramento","CA","95816","US","US/Pacific","KSAC",2016-12-29 14:53:00,57,NA,55,30.17,10,"North",6.9,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
